	word	n_samples	wordnet_polysemy	bert_polysemy	surprisal	s_samples	in_vocab	unigram
0	about	141	-1	656.0470404872804	0.8957410161036681	141	1.0	12.63998415950293
1	adj	354	-1	123.27394512196389	0.15857058506732608	354	1.0	11.324122065314922
2	adv	149	-1	122.19296011899371	0.15532187840295017	149	1.0	12.571036805785441
3	after	123	-1	652.4236873934974	0.17016975164775003	123	1.0	12.811170809509155
4	agbegbe	380	-1	-81.79420819046186	4.356120455265045	230	1.0	11.935669351627041
5	agbara	127	-1	-56.65812218192075	1.0227319502572374	127	1.0	12.799855496281321
6	agbára	145	-1	-148.14208217142948	7.169250850019784	145	1.0	12.580686975819159
7	agbègbè	199	-1	-221.94252904015383	6.6806968947750835	199	1.0	12.148803805102393
8	agbelebu	123	-1	-266.09763677329545	0.7786697725333819	123	1.0	12.834071211619234
9	akoko	184	-1	96.69387934672874	0.5809324004930323	184	1.0	12.26847403576501
10	all	128	-1	635.5161543197545	0.38940492850478464	205	1.0	12.113354969098102
11	also	198	-1	626.3527493582233	1.1602600634173312	198	1.0	12.155999306506596
12	and	3304	-1	601.7739971159076	0.046892223619978184	3304	1.0	8.103322582203022
13	an	553	-1	682.7446885874078	0.1746395778215775	553	1.0	10.619946406266386
14	apá	158	-1	45.74638502578409	4.814977734903746	158	1.0	12.477927401393957
15	apa	110	-1	266.7139223478631	1.007674768770283	110	1.0	12.992500574223717
16	are	427	-1	654.8115875943596	0.7131710392564744	427	1.0	11.055021658781776
17	ara	1286	-1	203.73640571725613	0.01001810599572681	1286	1.0	9.44891631473489
18	ará	391	-1	47.5638453393594	0.7303572917342795	391	1.0	11.181469994022715
19	as	748	-1	700.381338306276	0.23344898624747198	748	1.0	10.228102852777775
20	ati	2519	-1	196.8967735918787	0.029871531262865427	2519	1.0	8.47567494966258
21	at	490	-1	666.7270496757445	0.25237158317563163	490	1.0	10.854411659903409
22	awon	1213	-1	200.3980742421378	0.01950757215994522	1788	1.0	8.985273030375044
23	awọn	629	-1	60.66124372935594	0.10634922147147037	1904	1.0	8.8877146399856
24	ayé	344	-1	18.250630718259654	5.632216432066851	344	1.0	11.276293540224309
25	aye	114	-1	-8.934780881604631	7.715831831881874	114	1.0	12.917212446919478
26	ayẹyẹ	110	-1	-160.58184309287202	4.317664471539584	110	1.0	13.005439629931216
27	baba	229	-1	166.0762329548153	4.273153438318245	229	1.0	11.923338549716322
28	ba	517	-1	279.3485990373228	0.11172886848980218	517	1.0	10.76918836003438
29	be	623	-1	651.8582023582085	0.1883844539190883	623	1.0	10.505234747389693
30	been	114	-1	673.3521664156069	1.7949985128484274	114	1.0	12.954365445336945
31	bi	1183	-1	337.5422058201602	0.03430872337623398	1183	1.0	9.57464805933782
32	bii	103	-1	120.8638273780077	7.625772730818072	103	1.0	13.085609978615198
33	bo	180	-1	295.13966255245555	0.2316915669465541	180	1.0	12.292060856082626
34	but	165	-1	620.7804136384682	0.7792005354707892	165	1.0	12.407538073502561
35	by	726	-1	645.2876649236727	0.03942794568486962	726	1.0	10.278255056557594
36	bàbá	201	-1	83.0280791899142	0.18156284618826202	201	1.0	12.113354969098102
37	bá	1768	-1	267.4497782923827	0.006961483481903157	1768	1.0	8.979676533866133
38	báyìí	142	-1	-50.487175060265464	1.737867586839367	142	1.0	12.59040213065237
39	bí	700	-1	414.99614810838597	0.016589565626382582	2035	1.0	8.770568269313076
40	bíi	474	-1	148.34335545266885	1.697933978672269	474	1.0	10.880992259006726
41	dara	138	-1	42.33475850563434	4.584475612294847	138	1.0	12.670572479336354
42	da	294	-1	488.96098466715534	0.6918745448006647	294	1.0	11.575853822083214
43	de	675	-1	647.3710662526872	0.1912540676927138	675	1.0	10.38622756725715
44	di	1401	-1	352.1874427629119	0.036446522681549874	1401	1.0	9.331231453363303
45	do	111	-1	659.8798788907909	0.6201188972467339	111	1.0	12.966965482116578
46	dára	238	-1	62.44382576689967	2.5283607910661137	238	1.0	11.880992259006726
47	dá	530	-1	215.56348196606172	0.14462010991882604	530	1.0	10.720370712454505
48	dé	472	-1	216.28913301002103	0.07048716478996123	472	1.0	10.895973650545141
49	dó	148	-1	168.54098358102667	0.2799882240266212	148	1.0	12.54246765358867
50	dúró	250	-1	-52.17618035797891	4.7728202352523805	250	1.0	11.788628240858067
51	ede	704	-1	339.24617952482214	0.0363844101494289	704	1.0	10.332249946198324
52	egbe	161	-1	-46.9932782032302	2.729680695889159	161	1.0	12.460005493396695
53	eko	152	-1	116.13178231747239	5.880278232656879	162	1.0	12.442303491663237
54	eniyan	334	-1	36.45721974406513	0.11755890431231819	334	1.0	11.394714033144977
55	eni	212	-1	171.19947374861678	0.14742299468906703	212	1.0	12.065145876055483
56	eré	352	-1	66.36396350432281	3.2398431086066095	352	1.0	11.328180281889276
57	ere	120	-1	207.57553035215406	1.4597277324646711	120	1.0	12.880992259006726
58	est	188	-1	-986.9433686306123	0.11457056222710155	188	1.0	12.237613072060249
59	eto	191	-1	45.664200803650125	4.35357609718882	191	1.0	12.214892995560167
60	ewé	103	-1	-40.56104745731536	3.292033607519946	103	1.0	13.071935041718122
61	eyi	273	-1	106.12484480539356	1.3160468892845916	273	1.0	11.6965676878693
62	eye	106	-1	305.9821877499273	2.8506223601552674	106	1.0	12.929490776697918
63	fa	320	-1	198.18681840936588	0.08093704738421366	320	1.0	11.464465141587397
64	fi	2553	-1	254.19704004324586	0.005045040267584754	2553	1.0	8.453895899877208
65	first	192	-1	555.1853415539023	1.768627558161433	195	1.0	12.163230875737673
66	for	1035	-1	667.6776354654222	0.008608361452979147	1035	1.0	9.78026476792344
67	from	689	-1	684.9917569066881	0.1262593772592657	689	1.0	10.363143954144107
68	fun	1222	-1	215.61646416891045	0.07175144630455536	1222	1.0	9.52722571130495
69	fà	115	-1	229.81599163345518	2.2898515157077624	115	1.0	12.905037732973376
70	fìdí	152	-1	-250.26863025710725	2.976076915860176	152	1.0	12.424816064934397
71	fí	112	-1	90.66000131745412	6.810394559587751	112	1.0	12.979676533866133
72	fíìmù	121	-1	-230.10848266394862	8.069014832993185	121	1.0	12.788628240858067
73	fún	118	-1	97.71728181088143	0.7377258596839631	2825	1.0	8.304500104045339
74	gan	164	-1	134.3658240423054	0.1538558567919564	164	1.0	12.398976059999136
75	gba	1024	-1	111.92806017003116	0.5399718140033656	1024	1.0	9.78026476792344
76	gbà	393	-1	94.51347449105006	0.9326024447916118	393	1.0	11.155999306506596
77	gbólóhùn	215	-1	-229.01446723645142	4.729459408826607	215	1.0	12.044967994117853
78	gboyè	118	-1	-147.72191613876223	4.1591122200933555	118	1.0	12.869118158718434
79	gbogbo	326	-1	1.6405108923646956	0.060000885000561305	992	1.0	9.821145037174963
80	gbé	692	-1	-10.664764649458307	0.2509282775293239	692	1.0	10.328180281889278
81	gbe	217	-1	11.411445975744494	0.9730161210084292	217	1.0	12.025068436680147
82	gege	118	-1	-22.400158373887123	0.723578724315611	118	1.0	12.892964900672803
83	gidi	123	-1	58.353967410279196	1.2489964374136635	123	1.0	12.822575572781405
84	giga	115	-1	11.871783587541184	1.7303010080171668	115	1.0	12.929490776697918
85	gíga	172	-1	-163.2520069357662	2.2142722814582116	172	1.0	12.348644384448992
86	have	197	-1	694.0140707108555	0.23480487250850587	197	1.0	12.17049887620171
87	has	272	-1	623.7490357112267	0.481584259236971	272	1.0	11.686113330232132
88	had	144	-1	654.3526859240847	1.6159459251082606	144	1.0	12.619946406266388
89	he	396	-1	528.4702009505093	0.9529659996530221	186	1.0	12.19252518253171
90	her	208	-1	622.3456024852445	1.887518397353303	208	1.0	12.09249636420044
91	his	431	-1	678.1605046064379	0.36286628032276047	431	1.0	11.025068436680147
92	him	153	-1	512.0128952746979	4.401086934251723	153	1.0	12.514453277419072
93	hàn	211	-1	92.8994501802521	1.292709946491142	211	1.0	12.058388509880174
94	ibi	608	-1	179.85570141446945	0.13081047882243232	608	1.0	10.526059897067055
95	ibè	135	-1	-99.39223765735602	7.268971573864972	135	1.0	12.71239265503098
96	ifá	104	-1	-29.39512304180324	6.259194029439794	101	1.0	13.113354969098104
97	igi	190	-1	-14.11230749416763	3.3747825848428827	190	1.0	12.214892995560167
98	igba	226	-1	25.178113544359775	7.952017868514609	226	1.0	11.973307008990405
99	ii	137	-1	598.736018699773	0.10098612786517763	147	1.0	12.551927982837736
100	ijoba	200	-1	137.43722900850813	0.39490480843955783	153	1.0	12.523731091007084
101	ijọba	147	-1	-209.42154767751626	2.163079929595091	147	1.0	12.580686975819159
102	ikú	104	-1	-44.99205147233722	2.7457855068720303	104	1.0	13.071935041718122
103	ilé	532	-1	130.5140400493798	0.8750613044576915	1629	1.0	9.108111977110045
104	ilu	377	-1	119.38104941378407	4.048200669592192	377	1.0	11.214892995560165
105	ile	426	-1	348.4354156749247	0.05725558893656985	853	1.0	10.056704102168823
106	ilè	118	-1	93.60492769228816	6.240108162669812	118	1.0	12.892964900672803
107	in	481	-1	657.4034581750221	0.0383316850815351	3144	1.0	8.170498876201712
108	inú	368	-1	5.769358003992737	2.032707410986009	368	1.0	11.229999887950374
109	into	183	-1	684.1541152691971	0.17744218065820716	183	1.0	12.276293540224309
110	inu	134	-1	2.5130087412015256	3.0672085125054886	134	1.0	12.71239265503098
111	ipò	173	-1	-0.7317012129758023	1.0775459848904196	173	1.0	12.348644384448992
112	ipinle	179	-1	63.08935064914393	4.612250179756344	127	1.0	12.777487683252867
113	ipa	142	-1	60.26192795794009	5.079620836486279	142	1.0	12.600183151444957
114	ipo	127	-1	-0.44727831344133134	2.357374906305253	127	1.0	12.799855496281321
115	irú	176	-1	6.831156377206359	2.4833349280736665	176	1.0	12.300009609198115
116	is	1376	-1	686.3975532008733	0.17843553836115292	1376	1.0	9.366270055130826
117	ise	260	-1	185.96387134474278	0.7365924100749768	260	1.0	11.760936506989019
118	isé	131	-1	-1.3395697067165715	7.039601737306318	131	1.0	12.744573060780132
119	its	178	-1	668.9165437201476	0.6310886560907859	178	1.0	12.316039719017066
120	it	233	-1	640.5286924377043	0.6758115059699152	309	1.0	11.500647477894042
121	itan	102	-1	42.47793580302104	6.157797495524089	102	1.0	13.113354969098104
122	iwe	284	-1	66.18900708326687	0.7779024376625746	284	1.0	11.639984159502934
123	iye	159	-1	108.30337576751364	0.9220432786742846	375	1.0	11.241434783012656
124	iṣẹ	171	-1	-85.820445711747	3.709093791699549	171	1.0	12.373590741579221
125	jade	111	-1	62.00411339371086	2.931691445745863	111	1.0	12.966965482116578
126	je	1510	-1	391.5107695062822	0.043897441302582565	1510	1.0	9.230949341779239
127	ju	418	-1	231.30158855038033	0.02900037213627463	418	1.0	11.075341643161371
128	jáde	320	-1	39.02363390479391	0.6558403788367286	320	1.0	11.464465141587397
129	jé	436	-1	146.90867975491776	1.1624440048060833	436	1.0	11.028366026780722
130	jùlọ	302	-1	-240.83904070438012	6.512599302443448	302	1.0	11.537760650911142
131	jù	215	-1	-12.662316089786533	2.128587417547093	215	1.0	12.031671171504396
132	jẹ	955	-1	81.70304362621421	0.7629360727965832	955	1.0	9.88696616005136
133	jọ	159	-1	84.15354227891432	5.7386928174480705	159	1.0	12.477927401393957
134	kan	2556	-1	251.88507412122055	0.007396468792052736	2556	1.0	8.447812070485888
135	ka	125	-1	284.3821622981	0.7003263618052006	125	1.0	12.755461376922868
136	kankan	123	-1	-32.612293749398205	5.592215720230971	123	1.0	12.834071211619234
137	kejì	217	-1	-88.05187245894028	4.440281542764831	217	1.0	11.986074305064284
138	ki	498	-1	341.89546145730134	0.011935352426044266	498	1.0	10.825440906475793
139	kiri	107	-1	98.06267006143293	0.8772255219258019	107	1.0	13.044967994117853
140	ko	887	-1	248.96908456886092	0.1305014625297473	887	1.0	9.99089132136206
141	ku	118	-1	192.64610102434096	0.41162969784463865	118	1.0	12.892964900672803
142	kàn	136	-1	85.84947165138068	2.394058856017449	136	1.0	12.680914423557812
143	ká	155	-1	170.05033010881982	4.116752670657251	155	1.0	12.486972540996966
144	káàkiri	109	-1	-260.4403755794411	7.743281605046824	109	1.0	13.005439629931216
145	kéde	123	-1	-151.25033119836874	3.143814709128403	123	1.0	12.822575572781405
146	kì	202	-1	235.27047699750946	0.13720558824512985	202	1.0	12.09941577814023
147	kìí	128	-1	33.250045072219336	4.823180340230465	128	1.0	12.744573060780132
148	kí	1457	-1	115.80022094131445	2.3335570937755095	1457	1.0	9.268474035765008
149	kò	480	-1	316.9703722825385	0.011103049714561473	1531	1.0	9.18698699899028
150	kòkòrò	193	-1	-165.08164122597978	5.577018722969016	193	1.0	12.185145652166113
151	kópa	176	-1	-97.38440082129593	2.1132720573381945	176	1.0	12.324122065314924
152	kókó	105	-1	-60.63007494106457	5.937994130452474	105	1.0	13.071935041718122
153	kó	494	-1	97.00677069935327	1.6015700915685067	494	1.0	10.831188703086113
154	kù	133	-1	15.60456264355966	2.607253106465017	133	1.0	12.701823413320794
155	kúrò	223	-1	-64.0802671272386	3.6056396913100786	223	1.0	11.960651708184376
156	kún	112	-1	66.1508115926379	3.619363453771387	112	1.0	12.917212446919478
157	kú	252	-1	32.559316684485296	3.6382879326267847	252	1.0	11.771949499711436
158	kẹta	253	-1	-53.86217470552574	2.3866441393558215	253	1.0	11.794230947087442
159	kẹrin	175	-1	-77.9530653956061	0.9924839810814177	175	1.0	12.332249946198324
160	kọ	380	-1	43.92616911858864	3.1425451805717066	380	1.0	11.214892995560165
161	language	409	-1	309.1628490679329	0.16676365866605874	409	1.0	11.06176323666083
162	lati	1349	-1	208.4231338101929	0.021678676998526956	1349	1.0	9.393650490862468
163	laarin	158	-1	-28.53781250628737	0.45207153610837986	158	1.0	12.486972540996966
164	la	266	-1	624.9813667452806	0.48396975973172857	266	1.0	11.739159564593766
165	languages	102	-1	289.3122669348261	2.6192234295840358	102	0.0	13.085609978615198
166	le	754	-1	338.0499052777928	0.05823763644569296	754	1.0	10.214892995560165
167	leyin	121	-1	110.95230679473731	1.9988623709718059	121	1.0	12.857340990942081
168	lo	1228	-1	298.1895509448895	0.028780834712741996	1228	1.0	9.524895024140719
169	lori	373	-1	51.88624888660675	1.4267575225465738	373	1.0	11.245266644603683
170	láti	101	-1	46.557672719834635	0.05454290963274684	2329	1.0	8.586143698175649
171	lára	180	-1	112.76034119875361	0.40852822554076	504	1.0	10.808333650205626
172	láàrin	172	-1	-46.429928074441314	3.9985062930473063	172	1.0	12.316039719017066
173	láyé	118	-1	-13.807682643403584	5.58541736158274	118	1.0	12.880992259006726
174	láàrín	120	-1	-97.25552354317023	8.044767673810323	120	1.0	12.845659185894446
175	lè	1040	-1	68.36322739981192	0.4064310027134175	1040	1.0	9.741863773522144
176	lé	294	-1	136.63581206571294	3.7742440359933034	294	1.0	11.566235819521618
177	lò	224	-1	65.98713780839364	3.0427210067531894	224	1.0	11.966965482116578
178	lórí	675	-1	-51.69055460883656	4.326622870056718	675	1.0	10.373590741579223
179	ló	903	-1	118.45711214782601	0.561942147121972	903	1.0	9.954365445336945
180	lójú	125	-1	-56.77684135773448	6.38957500076294	125	1.0	12.799855496281321
181	lọ	1281	-1	109.62510407105225	0.685669484557722	1281	1.0	9.44670867078324
182	ma	514	-1	293.1377349255187	0.18681824419905427	514	1.0	10.777487683252867
183	made	104	-1	629.3601374492354	1.0463786327208464	104	1.0	13.085609978615198
184	maa	338	-1	224.0386410729424	0.04011550262679219	338	1.0	11.394714033144977
185	meji	173	-1	94.7116505355667	0.8861897597250911	173	1.0	11.948106454865265
186	me	170	-1	557.6352511739018	0.22887125366439304	170	1.0	12.348644384448992
187	million	1101	-1	187.15601282011704	0.024500827379827114	1101	1.0	9.642508560918479
188	mi	796	-1	443.55270808305437	0.05015452436424339	796	1.0	10.148803805102393
189	miran	124	-1	7.392120726452584	6.640566399020534	124	1.0	12.811170809509155
190	miiran	103	-1	-213.97217719229621	2.9482405492402974	103	1.0	13.071935041718122
191	mo	478	-1	318.5999730696989	0.10044148056576728	743	1.0	10.241434783012657
192	more	121	-1	653.7478983309527	1.238140643859082	121	1.0	12.822575572781405
193	most	103	-1	657.4005230003985	1.4549711222932176	103	1.0	13.09941577814023
194	mu	350	-1	223.00433181590475	0.4685545112990907	350	1.0	11.332249946198324
195	máa	1404	-1	57.769979959196	0.41053405048808567	1404	1.0	9.31201546245827
196	má	415	-1	307.6401199209204	0.025617285115705348	415	1.0	11.078756307574137
197	méjì	436	-1	-60.311650440320854	4.375225829421927	436	1.0	10.842753454719036
198	mìíràn	353	-1	-162.2970658750412	6.9976470639280155	353	1.0	11.30400046939415
199	míràn	143	-1	-160.1773445169707	5.791096800690764	143	1.0	12.610030937401305
200	mí	117	-1	342.8622495348388	0.1776986503854203	117	1.0	12.892964900672803
201	mó	137	-1	188.5485422345122	0.8665361846015401	137	1.0	12.691331039503151
202	mú	643	-1	26.092084540972145	1.997654440382591	643	1.0	10.457780828282182
203	mọ	379	-1	48.25649541563929	3.404145722024359	379	1.0	11.218654914356364
204	national	127	-1	505.0584817498672	2.013846336493214	103	1.0	13.09941577814023
205	naa	421	-1	86.80505405070032	3.026008328462723	421	1.0	11.068536465256257
206	na	369	-1	379.5105303143822	0.27193747740238905	369	1.0	11.268474035765008
207	new	130	-1	577.1253468448494	0.4505896203616565	108	1.0	13.031671171504396
208	ni	1396	-1	414.3477209038407	0.00668040891177933	12768	1.0	6.0268193428879275
209	ninu	919	-1	168.49466918470696	0.012131129018089902	919	1.0	9.941874501153748
